,,,,,,,,
,Team,Project,Category,Code,Description,License,,
,University of Washington (publications),Annotation File Utilities,Java Annotation Tool,https://code.google.com/p/annotation-tools/,"Tools for reading annotations from, and inserting type annotations in, Java source and class files. (Java)",MIT,,
,University of Washington (publications),Checker Framework,Static analysis,https://code.google.com/p/checker-framework/,The Checker Framework enhances Java's type system to make it more powerful and useful. This lets software developers detect and prevent errors in their Java programs. (Java),GPLv2,,
,University of Washington (publications),SPARTA Toolset,"Static analysis, Android, Security",http://types.cs.washington.edu/sparta/release/,"SPARTA aims to detect certain types of malware in Android applications, or to verify that the app contains no such malware. SPARTA's verification approach is type-checking: the developer states a security property, annotates the source code with type qualifiers that express that security property, then runs a pluggable type-checker to verify that the type qualifiers are right (and thus that the program satisfies the security property). (Java)",GPLv2,,
,University of Washington (publications),Type annotations compiler,"Static analysis, Compilers",https://code.google.com/p/jsr308-langtools/,"Java 8 will include support for type annotations. The Type Annotations compiler (also called the JSR 308 compiler) is fully backward-compatible. You can use it in place of javac (for Java 8) without any change in behavior, except that you will be permitted to write annotations in comments. This lets you write type annotations, but keep your code compilable by Java 4/5/6/7 compilers. (Java)",GPLv2,,
,Team,Project,Category,Code,Description,License,,
,MIT (publications),Aeolus,Software Development,http://www.pmg.csail.mit.edu/aeolus/aeolus-20120813.tgz,Aeolus is a platform for building secure distributed applications using the decentralized information flow control model. (Java),GPL,,
,MIT (publications),KINT,Software Debugging,git://g.csail.mit.edu/kint,"KINT is a tool that uses scalable static analysis to detect integer errors in C programs. KINT generates constraints from source code and user annotations, and feeds them into a constraint solver for deciding whether an integer error can occur. (C)",Modified BSD,,
,MIT (publications),STACK,Software Debugging,git://github.com/xiw/stack,STACK is a static checker that detects unstable code in C/C++ programs. (C),"MIT,GPLv3",,
,"MIT (publications), Stanford University (publications)",Ori,File Systems,http://bitbucket.org/orifs/ori,"Ori is a distributed file system built for offline operation and empowers the user with control over synchronization operations and conflict resolution. We provide history through light weight snapshots and allow users to verify the history has not been tampered with. Through the use of replication instances, it can be resilient and recover damaged data from other nodes. (C++)",MIT,,
,"Raytheon BBN (publications), University of Utah (publications)",Stackdb,"Virtual Machine Introspection, Debugging, System analysis",http://git-public.flux.utah.edu/gitweb.cgi?p=a3/vmi.git;a=summary,"Stackdb is a VMI-enabled debugging library for multi-level software systems. It allows one to monitor and control a whole system through multiple, coordinated 'targets'. The current version of Stackdb can attach to Xen-based Linux guests and to local Linux processes (via ptrace). (C)",GPLv2,,
,"Raytheon BBN (publications), University of Utah (publications)",Weir,"Programming Languages, Scripting Languages, System Analysis",http://git-public.flux.utah.edu/gitweb.cgi?p=xen-analysis/pipes-lang.git;a=summary,"Weir is a stream-based programming language for system analysis. In Weir, an analysis algorithm is implemented as a graph of 'stages', where each stage operates on a stream of events that represent activity within, or measurements from, the system under study. Weir supports analyses over multiple sources of events. The current version of Weir includes stages for processing Xentrace logs, Apache web server logs, and PHP logs. It also includes stages that connect to the virtual machine introspection (VMI) features of an 'A3 container', a VM-based execution environment that provides innate and adaptive protections for applications that run within the container. (C++)",GPLv2,,
,"SRI, University of Cambridge (publications)",BERI: Bluespec Experimental RISC Implementation,"Microprocessor, Rapid Prototyping",http://www.cl.cam.ac.uk/research/security/ctsrd/beri-downloads.html,"BERI is a pipelined 64-bit RISC FPGA soft-core processor designed for teaching and research in the hardware-software interface. BERI is implemented in Bluespec, a high-level hardware definition language (HDL) that compiles to efficient C simulation or Verilog descriptions suitable for FPGA implementation. (Bluespec System Verilog)","BERI Open-Source Hardware-Software License (modified Apache),BSD",,
,"SRI, University of Cambridge (publications)",Capsicum for FreeBSD,"Security, Operating Systems, Sandboxing, Vulnerability Mitigation",http://www.cl.cam.ac.uk/research/security/capsicum/freebsd.html,"Capsicum is a hybrid capability-system model that supports application compartmentalization, the decomposition of larger applications (such as web browsers or office suites) into a set of sandboxed components. Capsicum is integrated into the FreeBSD operating system. (C)",BSD,,
,"SRI, University of Cambridge (publications)",Capsicum for Linux,"Security, Operating Systems, Sandboxing, Vulnerability Mitigation",http://www.cl.cam.ac.uk/research/security/capsicum/linux.html,"Capsicum is a hybrid capability-system model that supports application compartmentalization, the decomposition of larger applications (such as web browsers or office suites) into a set of sandboxed components. Capsicum is integrated into the FreeBSD operating system, with patches adapting it to Linux developed by Google. (C)","BSD,GPLv2",,
,"SRI, University of Cambridge (publications)",CHERI: Capability Hardware Enhanced RISC Instructions,"Security, Microprocessor, Vulnerability Mitigation",http://www.cl.cam.ac.uk/research/security/ctsrd/beri-downloads.html,"CHERI transposes the Capsicum hybrid capability model into the CPU architecture space, allowing fine-grained compartmentalisation within process address spaces--while continuing to support current software designs. The CHERI ISA is implemented using the Bluespec Extensible RISC Implementation (BERI) and a 64-bit MIPS FPGA soft core implemented in the Bluespec HDL. (Bluespec System Verilog)","BERI Open-Source Hardware-Software License (modified Apache),BSD",,
,"SRI, University of Cambridge (publications)",Smten: Enhancing the Satisfiability Modulo Theories Experience,"Formal Verification, Satisfiability Module Theories (SMT), Hardware Verification",https://github.com/ruhler/smten,Smten is a unified language for general-purpose functional programming and SMT query orchestration whose goal is to greatly simplify the development of practical SMT-based tools for computer aided verification. (Haskell),BSD,,
,"SRI, University of Cambridge (publications)",SOAAP: Security-Oriented Analysis of Application Programs,"Security, Operating Systems, Sandboxing, Program Analysis, Vulnerability Mitigation, Compilers",https://github.com/CTSRD-SOAAP/soaap.git,"Application compartmentalization, such as that supported by Capsicum and CHERI, remains an art rather than a science: identifying, implementing, and debugging partitioning strategies requires detailed expertise in both the application and security. SOAAP provides semi-automated techniques -- grounded in static analysis, dynamic analysis, and automated program transformation -- to improve the developer experience. (C/C++)",BSD,,
,"SRI, University of Cambridge (publications)",TESLA: Temporally Enhanced System Logic Assertions,"Security, Operating Systems, Program Analysis, Vulnerability Detection, Compilers",https://github.com/CTSRD-TESLA/TESLA.git,"TESLA is a description, analysis, and validation tool that allows systems programmers to describe expected temporal behaviour in low-level languages such as C. Temporal assertions can span the interfaces between libraries and even languages. TESLA exposes run-time behaviour using program instrumentation, illuminating coverage of complex state machines and detecting violations of specifications. (C/C++/Objective-C)",BSD,,
,Stanford University (publications),Dune,Virtualization,http://dune.scs.stanford.edu/dune.git,"Dune provides ordinary user programs with safe and efficient access to privileged CPU features that are traditionally only available to kernels. It does so by leveraging modern virtualization hardware, enabling direct execution of privileged instructions in an unprivileged context. We have implemented Dune for Linux, using Intel's VT-x virtualization architecture to expose access to exceptions, virtual memory, privilege modes, and segmentation. By making these hardware mechanisms available at user-level, Dune creates opportunities to deploy novel systems without specialized kernel modifications. (C)",GPLv2,,
,Stanford University (publications),Hails,"Web Platforms, Security Policy",ssh://github.com/scslab/hails.git,"Hails is designed for building web platforms, where it is expected that a site will comprise many mutually-distrustful components written by a variety of entities. Hails is built around the two core principles of Separation of Policy and Mandatory Access Control. (Haskell)",GPLv2,,
,"University of New Mexico (publications), University of Virginia (publications)",GenProg,"Software Debugging, Genetic Algorithms",http://dijkstra.cs.virginia.edu/genprog/resources/genprog-source-v3.0.zip,"GenProg uses genetic programming to search for repairs for software bugs. The evolutionary computation represents candidate repairs as sequences of edits to software source code. Each candidate in a large population is applied to the original program to produce a new program, which is evaluated using test suites. Those candidates that pass more tests are said to have a higher fitness and are iteratively subjected to computational analogs of the biological processes of mutation and crossover. This process terminates when a candidate repair is found that retains all required functionality and fixes the bug. GenProg does not require special code annotations or formal specifications, and applies to unmodified legacy software. (C)",BSDv3,,
,University of Texas - Austin (publications),ACL2,Theorem Prover,http://www.cs.utexas.edu/users/moore/acl2/v6-3/installation/obtaining-and-installing.html#Sources,ACL2 is both a programming language in which you can model computer systems and a tool to help you prove properties of those models. (Common Lisp),BSD,,
,"BAE Systems (publications), Apogee Research (publications), University of North Florida (publications), University of Michigan (publications)",Introduction-Based Routing,"Networking, Reputation Management",http://sourceforge.net/projects/introbasedrouting/,Introduction-Based Routing (IBR) is a method for dynamically opening and closing point-to-point virtual private networks (connections) to create a dynamic yet trustworthy network. Connections are created via introduction. The IBR Proxy Server software packet implements IBR. (Java),GPLv2,,
,Carnegie Mellon University (publications),HACMS Spiral package,Control Systems,Not Ready for Release,"Open source Spiral package running on the core Spiral engine. Provides sensor fusion and consistency algorithms, optimized interval arithmetic, and code generation capabilities for advanced Intel instruction sets (SSE, AVX). Includes example specifications in the 'Hybrid control operator language (HCOL)' and an Eclipse-based GUI.",Open Source License TBD,,
,Draper Laboratory,CSPM parser/type-checker/evaluator included in FDR3,Red Team,https://github.com/tomgr/libcspm.git,"This library provides a FDR-compliant parser, type checker and (experimental) evaluator for machine CSP files. There is also a program, cspmchecker, that makes use of this library to provide command line type checking.",Open Source License TBD,,
,Draper Laboratory,Fracture Tool / LLVM decompiler,Red Team,https://github.com/draperlaboratory/fracture,"Draper's HACMS Decompiler is a software tool based on the LLVM open source compiler project. The HACMS Decompiler is a set of modifications to the LLVM compiler that make it run backwards. The HACMS Decompiler converts computer program instructions for a specific machine (binary software program) into generic machine instructions (machine-independent assembly program) called LLVM intermediate representation (IR). The HACMS Decompiler enables a user to directly analyze and modify the resulting LLVM IR. Near term additions to the HAMCS Decompiler include the ability to emit a C program representation from the IR. The HACMS Decompiler currently supports ARM architectures, however it will be extended to include X86, PowerPC, MIPS, and other ISAs as required by the program.",Open Source License TBD,,
,"Galois, Inc.",cbmc-reporter,Control Systems,https://github.com/GaloisInc/cbmc-reporter.git,"cbmc-reporter is a driver for the CBMC model-checker for use in verifying C library code. cbmc-reporter helps (1) utilize multi-threading when verifying a large number of claims, (2) generate summary tables of resulting proofs, and (3) aid in build-system integration for library code (e.g., parsing function definitions from sources). (Haskell)",BSDv3,,
,"Galois, Inc.",Ivory,Control Systems,https://github.com/GaloisInc/smaccmpilot-build.git,"Ivory is an embedded domain-specific language for safer systems programming. Ivory is implemented as a library of the Haskell programming language. Ivory programs are written using Haskell syntax and types.Ivory is not a general purpose programming language. It aims to be a good language for writing a restricted subset of programs. Ivory gives strong guarantees of type and memory safety, and has features which allow the programmer to specify other safety properties. Ivory is well suited for writing programs which interact directly with hardware and do not require dynamic memory allocation. Ivory can be considered to be a lot like a restricted version of the C programming language, embedded in Haskell. (Haskell)",BSDv3,,
,"Galois, Inc.",SMACCMPilot,Control Systems,https://github.com/GaloisInc/smaccmpilot-build.git,"SMACCMPilot is an open source autopilot software for small, unmanned aerial vehicles (UAVs) using new high-assurance software methods. (C)",BSDv3,,
,"Galois, Inc.",Tower,Control Systems,https://github.com/GaloisInc/smaccmpilot-build.git,"Tower is a language for composing Ivory programs into real-time tasks. Tower is both a specification language and a code generator. A Tower program describes communication channels and tasks, and provides an Ivory implementation of each task. Tower compiles the specification for the program and delegates code generation to an operating-system specific back end. (C)",BSDv3,,
,Kestrel Institute,Specware System,Operating Systems,http://www.specware.org/news.html,"Specware is a software engineering tool that automatically generates high-assurance software. Specware is a leading-edge automated software development system that allows users to precisely specify the desired functionality of their applications and to generate provably correct code based on these requirements. At the core of the design process in Specware lies stepwise refinement, in which users begin with a simple, abstract model of their problem and iteratively refine this model until it uniquely and concretely describes their application.",Open Source License TBD,,
,MIT (publications),Bedrock Coq library,Operating Systems,http://plv.csail.mit.edu/bedrock/,"Bedrock is a library that turns Coq into a tool much like classical verification systems (e.g., ESC, Boogie), but niftier. In particular, Bedrock is: (1) Low-level: You can verify programs that, for performance reasons or otherwise, can't tolerate any abstraction beyond that associated with assembly language. (2) Foundational: The output of a Bedrock verification is a theorem whose statement depends only on the predicates you choose to use in the key specifications and on the operational semantics of a simple cross-platform machine language. That is, you don't need to trust that the verification framework is bug-free; rather, you need to trust the usual Coq proof-checker and the formalization of the machine language semantics. Higher-order: Bedrock facilitates quite pleasant reasoning about code pointers as data. (3) Computational: Many useful functions are specified most effectively by comparing with ""reference implementations"" in a pure functional language. Bedrock supports that model, backed by the full expressive power of Coq's usual programming language. (4) Structured: Bedrock is an extensible programming language: any client program may add new control flow constructs by providing their proof rules. For example, adding high-level syntax for your own calling convention or exception handling construct is relatively straightforward and does not require tweaking the core library code. (5) Mostly automated: Tactics automate verification condition generation (in a form inspired by separation logic) and most of the process of discharging those conditions. Many interesting programs can be verified with zero manual proof effort, in stark contrast to most Coq developments.",BSD,,
,NICTA (publications),CAmkES: Component Architectures for microkernel-based Embedded System,Operating Systems,http://ssrg.nicta.com.au/software/TS/camkes/download.pml,The CAmkES project provides a solution for quickly and reliably building complex microkernel-based embedded systems software.,BSD,,
,NICTA (publications),Trustworthy File Systems,Operating Systems,Not Ready for Release,The aim of Trustworthy File Systems is to develop a methodology for the creation of correct-by-construction file systems.,Open Source License TBD,,
,NICTA (publications),WCET: Worst-case execution time computations tools,Operating Systems,http://www.ssrg.nicta.com.au/software/TS/wcet-tools/wcet-tools-0.2.tar.gz,"The WCET computation is based on Chronos 4.2 and is augmented with additional code to perform control flow graph extraction, loop bound computation, and infeasible path detection. The default modelled hardware is the ARM1136 i.MX31 processor on the KZM evaluation board. This software was developed as part of research into mixed-criticality real-time systems, and has been used to compute execution time bounds for seL4.",GPL,,
,Princeton University (publications),Message-authentication enhancements to the ROS operating system,Operating Systems,Not Ready for Release,Message-authentication enhancements to the ROS operating system.,Open source license TBD,,
,Princeton University (publications),Verified Software Toolchain,Operating Systems,http://vst.cs.princeton.edu/download/,"The software toolchain includes static analyzers to check assertions about your program; optimizing compilers to translate your program to machine language; operating systems and libraries to supply context for your program. The Verified Software Toolchain project assures with machine-checked proofs that the assertions claimed at the top of the toolchain really hold in the machine-language program, running in the operating-system context.","BSD, GPL",,
,Rockwell Collins (publications),FM Workbench,Research Integration,http://github.com/smaccm/smaccm,"This repository contains 1) the AADL models with verification properties for the research air vehicle (quadcopter), 2) the AGREE analysis tool for compositional verification of behavioral properties, and 3) the Resolute tool for constructing and checking assurance cases on AADL models.",BSDv3,,
,Rockwell Collins (publications),JKind model checker,Research Integration,https://github.com/agacek/jkind,JKind is a Java implementation of the KIND model checker. KIND is a parallel multi-property k-induction based model checker for Lustre programs. (Java),BSDv3,,
,SRI (publications),Evidential Tool Bus,Research Integration,Not Ready for Release,"The evidential tool bus (ETB) allows for low-cost integration of diverse tools and components into customized tool chains, and the combination of evidence from different sources into a credible assurance case.",GPL,,
,SRI (publications),High-assurance ROS modules,Research Integration,Not Ready for Release,"New high-assurance ROS modules that will provide security services, such as authentication and integrity.",BSD license TBD,,
,University of Pennsylvania(publications),Attack-resilient implementation of cruise controllers,Control Systems,Not Ready for Release,"A constant-speed cruise control for LandShark that ensures the vehicle maintains speed when some sensors are attacked (e.g., attack on encoders & GPS spoofing). Also includes adaptive cruise control for an American Built Car based on the CarSim simulator.",GPL,,
,University of Pennsylvania(publications),Attack-resilient sensor fusion module,Control Systems,Not Ready for Release,Ubiquitous/redundant sensors can provide additional information about system state. Low-precision sensors can be used to improve attack detection and identification.,GPL,,
,University of Pennsylvania(publications),ROS based cruise controller simulator,Control Systems,Not Ready for Release,ROS-based cruise controller simulator.,GPL,,
,Yale University (publications),CertiKOS kernel,Operating Systems,Not Ready for Release,CertiKOS is a new hypervisor kernel that leverages formal certification to ensure correctness and isolate critical services from noncritical components.,Open source license TBD,,
,Cornell University (publications),Isis2,"Distributed Computing, Cloud Computing",http://isis2.codeplex.com/downloads/get/772418,"Isis2 is a new option for cloud computing that can enable reliable, secure replication of data even in the highly elastic first-tier of the cloud. Isis2 is a project of Ken Birman at Cornell University. Although the system started out as a data replication technology (groups of programs that can share updates), in 2013 Isis2 became much more big-data oriented.",BSD,,
,Cornell University (publications),Live Distributed Objects,"Cloud Computing, Collaboration, Mashups",https://liveobjects.codeplex.com,"Live Distributed Objects is a visualization technology for creating collaborative shared applications (live objects) where any change made by any user is immediately mirrored to all other users. The technology is cloud-based but can operate without any central server or data center if desired, making it feasible to use it in a forward mission situation where back-connectivity to the data center is disrupted.",BSDv3,,
,Cornell University (publications),Live Distributed Objects integrated with Isis2,"Cloud Computing, Collaboration, Mashups",https://ldo4gridcloud.codeplex.com,"Live Distributed Objects is a visualization technology for creating collaborative shared applications (live objects) where any change made by any user is immediately mirrored to all other users. The technology is cloud-based but can operate without any central server or data center if desired, making it feasible to use it in a forward mission situation where back-connectivity to the data center is disrupted. The original Live Distributed Objects technology doesn't compile on the most recent Windows 8 release from Microsoft, and lacked a driver to integrate it with Isis2. This code base resolves both issues, but the main documentation remains unchanged and should be accessed on the Live Distributed Objects release site.",BSDv3,,
,Cornell University (publications),ShadowDB,"High Assurance Computing, Database",https://github.com/nschiper/ShadowDB,A replicated database built from ODBC-compatible databases and synthesized 'correct-by-construction' consensus code.,BSDv3,,
,Cornell University (publications),TCPR,"High Assurance Computing, Network Protocols",https://github.com/rahpaere/tcpr/,"TCPR can turn one or both of the endpoints of a TCP connection in to a long-lived one, surviving both migration and failure+recovery events, transparently to the other endpoint. This version should be used for standard TCP connections.",BSDv3,,
,Cornell University (publications),TCPR-SSL,"High Assurance Computing, Network Protocols",https://github.com/rvanren/TCPR-SSL,"TCPR can turn one or both of the endpoints of a TCP connection in to a long-lived one, surviving both migration and failure+recovery events, transparently to the other endpoint. This release has been integrated with OpenSSL.",BSDv3,,
,Johns Hopkins University (publications),Prime,"Cloud Computing, Replication Engine",http://dsn.jhu.edu/download/download_prime_MZceyx.cgi,"Prime is a Byzantine fault-tolerant replication system whose goal is to provide a meaningful level of performance even after some of the replication servers have been compromised. Prime meets Safety (consistency of the correct replicas) and Liveness (the eventual execution of each update) constraints as long as no more than f out of 3f+1 replicas are compromised and the network is sufficiently stable. Prime also meets a stronger, Bounded-Delay, performance guarantee that limits the amount of performance degradation that can be caused by malicious servers.",BSD-like,,
,Johns Hopkins University (publications),Spines,"Cloud Computing, Messaging Systems",http://www.dsn.jhu.edu/download/download_spines.cgi,"Spines is a generic messaging infrastructure that provides transparent unicast, multicast and anycast communication over dynamic, multi-hop networking environments without the need for expensive router programming environments or low level router coding. It provides automatic reconfiguration and network flexibility required for research and production deployments.",BSD-like,,
,"SRI International (publications), University of Cambridge (publications)",Mirage Operating System,"Security, Operating Systems, Programming Languages",http://openmirage.org/wiki/install,"Mirage is a unikernel for constructing secure, high-performance network applications across a variety of cloud computing and mobile platforms. Code can be developed on a normal OS such as Linux or MacOS X, and then compiled into a fully-standalone, specialised kernel that runs under the Xen hypervisor. The framework is fully event-driven, with no support for preemptive threading.","ISC,GPLv2",,
,Applied Communication Sciences,NEW Aug 18th,Machine Learning,Not Ready for Release,"Probability density ratio estimation tool. Given two samples of data, provides estimate of the density ratio between corresponding probability densities. To be used as the core module for other developed applications, such as conditional probability estimation.",Mathworks Matlab,,
,BAE Systems,NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,MATLAB solutions to first 3 TA1 challenge problems.,TBD,,
,BAE Systems,NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,Prob solutions to first 3 TA1 challenge problems.,TBD,,
,BAE Systems,NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,"Probabilistic programming language built within Racket system, featuring intentional contracts.",TBD,,
,Charles River Analytics (publications),NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,Performance Optimizer,BSDv3,,
,Charles River Analytics (publications),BLOG NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://sites.google.com/site/bloginference/download/blog-0.8-bin.zip?attredirects=0&d=1,BLOG PPS,TBD,,
,Charles River Analytics (publications),Figaro NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/p2t2/figaro.git,Figaro PPS,BSDv3,,
,Charles River Analytics (publications),NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,PRM PPS,BSDv3,,
,"Galois, Inc.",PPAML Evaluation Tools NEW Aug 18th,Domain Experts,https://github.com/GaloisInc/ppaml-eval-tools.git,The PPAML client tools are a set of libraries and scripts that allow PPAML TA2-4 teams to evaluate their own probabilistic programming systems in the same way that we will at Galois.,BSDv3,,
,"Galois, Inc.",PPAML Tracer NEW Aug 18th,Domain Experts,https://github.com/GaloisInc/ppaml-tracer.git,PPAML Tracer is a lightweight tracing library designed for explicit instrumentation of generated code.,BSDv3,,
,"Galois, Inc.",PPAML VREP Automobile Plugin NEW Aug 18th,Domain Experts,https://github.com/GaloisInc/ppaml-vrep-automobile-plugin.git,"This package provides a data collection plugin for the V-REP robotics simulator http://coppeliarobotics.com/. The plugin is targeted at data collection following the model described at http://prism2.mem.drexel.edu/~vefa/courses/SLAM/nebotJournal.pdf, but it may be useful for other projects as well.",TBD,,
,Gamelan,"Chimple, a Probabilistic Programming Java API NEW Aug 18th","Probabilistic Programming, Inference Engine",https://github.com/AnalogDevicesLyricLabs/chimple.git,Chimple Source - a lightweight trace MH implementation in Java.,ALv2,,
,Gamelan,Demos of Dimple with large datasets NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/AnalogDevicesLyricLabs/dimpleDemos.git,Dimple Demos (large datasets).,ALv2,,
,Gamelan,Dimple: Java and Matlab libraries for probabilistic inference NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/AnalogDevicesLyricLabs/dimple.git,Dimple Source and Demos with small datasets.,ALv2,,
,Gamelan,NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,Cloud Infrastructure for visualization.,TBD,,
,Gamelan,NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,Mixing and Convergence Feedback visualization infrastructure.,TBD,,
,Gamelan,Forest: a repository for generative models NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/forestdb/forestdb.org.git,Demo examples for WebChurch.,ALv2,,
,Gamelan,HMM implemented with multiple solvers NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/gamelanlabs/HMM-implementations.git,HMM demos for dimple and chimple.,ALv2,,
,Gamelan,Phase transitions in BP NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/gamelanlabs/phase-change.git,Demonstrating phase transitions in belief propagation convergence in the stochastic block model.,ALv2,,
,Gamelan,Probabilistic Models of Cognition NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/probmods/chapters.git,Instructional Materials for Webchurch.,ALv2,,
,Gamelan,NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,Agile/Amortized Inference Team Challenge Problem.,TBD,,
,Gamelan,Webchurch source NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/probmods/webchurch.git,A compiler for the Church programming language into JavaScript for in-browser execution.,ALv2,,
,Indiana University (publications),NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,"A program that computes the probability density of a probabilistic program, combining the accuracy of Bhat et al's exact algorithm and the generality of Pfeffer's approximate algorithm.",BSD,,
,Indiana University (publications),NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,A library of combinators in Haskell for building Markov Chain Monte Carlo samplers from reusable proposal distributions and transition kernels.,BSD,,
,Indiana University (publications),NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,"An HTTP server that communicates with any Web browser and any sampler to plot inference progress using histograms, correlation matrices, and other pluggable widgets.",BSD,,
,Indiana University (publications),NEW Aug 18th,"Probabilistic Programming, Inference Engine",Not Ready for Release,"Interpreters of the lambda calculus with a measure monad and conditioning, by importance sampling and by Markov Chain Monte Carlo, without expression dispatch overhead.",BSD,,
,MIT (publications),BayesDB NEW Aug 18th,"Probabilistic Programming, Inference Engine",https://github.com/mit-probabilistic-computing-project/BayesDB.git,A Bayesian database for querying the probable implications of data tables.,ALv2,,
,MIT (publications),NEW Aug 18th,"Probabilistic Programming, Inference Engine",http://probcomp.csail.mit.edu/venture/venture-0.1.1.tgz,"A general-purpose, higher-order probabilistic programming platform with programmable inference.",GPLv3,,
,SRI,Alchemy 2.0 NEW Aug 18th,Machine Learning,https://code.google.com/p/alchemy-2/source/checkout,Learning and Inference engine for Markov Logic Networks.,MIT,,
,SRI,Lifted Inference Library NEW Aug 18th,Machine Learning,https://code.google.com/p/aic-praise/source/checkout,A Probabilistic Reasoning As Symbolic Evaluation (PRAiSE) library that provides capabilities in lifted first-order probabilistic belief propagation and support for defining first-order probabilistic models.,BSDv3,,
,Stanford University,Optimal Experiment Design NEW Aug 18th,Inference Engine,Not Ready for Release,Optimal experiment design for probabilistic models.,TBD,,
,Stanford University,NEW Aug 18th,Inference Engine,Not Ready for Release (but in public github repo),Javascript tracing primitives (built on top of webchurch).,TBD,,
,Stanford University,NEW Aug 18th,Inference Engine,Not Ready for Release,"Tracing MH, Church->SMT, FAUST, etc. (on top of Vicare Scheme).",TBD,,
,Stanford University,NEW Aug 18th,Inference Engine,Not Ready for Release,Stochastic Optimizer for x86_64 binaries.,ALv2,,
,University of California - Riverside (publications),CTBN-RLE NEW Aug 18th,Machine Learning,http://rlair.cs.ucr.edu/ctbnrle/,Continuous-time reasoning and learning library.,GPLv3,,
,Georgetown University (publications),Senser,Networking,https://security.cs.georgetown.edu/code/senser-0.1.tar.gz,A distributed consensus system for web sites that uses distributed sensors to render a majority view. (Java),"custom, BSD-based",,
